Código,Descrição
240505,CIL. COMPL. CÓD.CJ 408 (EST ELEV 03)
240506,CIL. COMPL. CÓD.CJ 409 (ESTRE EIXOS)
240507,CIL. COMPL. CÓD.CJ 410 (ESTERÇAMENTO)
240511,"MANG R2 - 3/8"" X 3200 - TERM. 90/RETO FEMEA JIC 3/4"""
240512,"MANG R2 - 3/8"" X 700 - TERM. 90/90 FEMEA JIC 3/4"" (DEFASADO 0º)"
240513,"MANG R2 - 1/2"" X 4200 - TERM. 90/45 FEMEA JIC 3/4"" (DEFASADO 0º)"
240514,"MANG R2 - 1/4"" X 690 - TERM. 90/RETO FEMEA JIC 9/16"""
240516,"MANG R2 - 1/4"" X 500  - TERM. RETO/90 FEMEA JIC 9/16"""
240517,"MANG R2 - 1/4"" X 400 - TERM. RETO/90 FEMEA JIC 9/16"""
240519,"MANG R2 - 3/8"" X 1400 - TERM. RETO/RETO FEMEA JIC 3/4"""
240520,"MANG R2 - 3/8"" X 3500 - TERM. 90/RETO FEMEA JIC 3/4"""
240521,"MANG R2 - 5/8"" x 800 - TERM. RETO/RETO FEMEA JIC 7/8"""
240523,"MANG R2 - 3/8"" X 2800 - TERM. RETO/RETO FEMEA JIC 3/4"""
240524,"MANG R2 - 5/8"" X 800  - TERM. 90/90 FEMEA JIC 3/4"" (DEFASADO 90º)"
240525,"MANG R2 - 1/4"" X 3000  - TERM. 90/RETO FEMEA JIC 9/16"""
240526,"MANG R2 - 1/4"" X 2800 - TERM. 90/RETO FEMEA JIC 9/16"""
240528,"MANG R2 - 1/2"" X 2700 - TERM. 90/45 FEMEA JIC 3/4"" (DEFASADO 0º)"
240529,"MANG R2 - 3/8"" X 2600 - TERM. 90/RETO FEMEA JIC 3/4"""
240530,"MANG R2 - 3/8"" X 4200 - TERM. RETO/90 FEMEA JIC 3/4"""
240531,"MANG R2 - 1/2"" X 4000 - TERM. RETO/45 FEMEA JIC 3/4"""
240532,"MANG R2 - 5/8"" X 1200 - TERM. RETO/90 FEMEA JIC 7/8"""
240544,"MANG R2 - 5/8"" X 500 - TERM. 90/90 FEMEA JIC 7/8"""
240550,ADAPT. MACHO JIC 9/16 X 1/2 NPT
240553,ADAPT. MACHO JIC 7/8 X 3/8 NPT
240561,NIPLE MACHO NPT 1.1/4 X 1.1/4 NPT
240563,"TEE IGUAL JIC 3/4"""
240566,"ADAP MACHO 3/4"" BSPx9/16"" JIC"
240569,ADAP. MACHO JIC 9/16 X 9/16 UNF ORING
240570,ADAP. MACHO JIC 9/16 X 3/8 BSP
240572,ADAP. MACHO JIC 3/4 X 1.1/16 UNF ORING
240574,ADAP. MACHO JIC 1.5/8 X 1.5/8 UNF ORING
240575,TEE LATERAL FEMEA JIC 3/4 X MACHO 3/4 JIC
240578,"DISJUNTOR MOTOR TRIP. 3RV10 11 1EA10 2,8-4,0A"
240581,"TEE FEMEA IGUAL JIC 7/8"""
240585,ADAPT MACHO JIC 3/4 X 1.5/16 UNF
240591,"ADAPT MACHO JIC 7/8""x1"" NPT"
240592,"ADAPT MACHO JIC 7/8""x9/16"" UNF"
240593,"ADAPT MACHO JIC 7/8""x1.1/16 UNF"
240594,"ADAPT MACHO JIC 1.5/8""x1.7/8"" UNF"
240595,"ADAPT MACHO JIC 9/16""x7/8"" UNF"
240597,"ADAPT MACHO JIC 7/8""x1.5/16 UNF"
240600,"UNIÃO PG JIC 7/8""xMAC 3/8"" NPT"
240601,"ADAPT. PG JIC 7/8""xMAC 1/2"" NPT"
240602,"COTOVELO MACHO JIC 9/16""x1/2"" NPT"
240603,"ADAPT MACHO JIC 9/16""x1/4""BSPP"
240611,ADAPT. MF 1/2NPT X MF 7/8JIC
240612,ADAPT. MF 1/2NPT X MF 9/16JIC
240614,"ADAP MACHO JIC 3/4""x1/2 BSP"
240618,ELETRODUTO 20MM
240632,MANGUEIRA LONADA 8MM INT X 12MM EXT
244548,TERMINAL ILHOS TUBULAR 1MM VM.MM
250112,"PARAFUSO ALLEN S/C 1/4"" X 5/16"" UNC"
256030,"PARAF FRANC INOX 5/16 X 2.1/2"""
256033,"PARAF FRANC INOX 5/16 X 1.1/2"""
256037,"PARAFUSO SEXTAVADO G3 5/16"" X 2.1/2"" UNC"
256148,"PARAF FRANC INOX 3/8 X 1.3/4"""
257093,"PARAF ALLEN S/CAB 1/4 X 7/8"" UNC"
257109,PARAF AA FERRO 4.8 (10 X 13) 1/2 CHATA
257113,"PARAF. ALLEN C/CAB. 1/8X1"" UNC"
257115,"PARAF. MAQ. INOX. 1/4"" X 1"" CAB. CHATA"
257135,"PARAFUSO FENDA CABEÇA CHATA 1/4"" X 1.1/4"" UNC"
257148,"PARAFUSO ALLEN S/C 5/16"" X 1/4"" UNC"
257152,PARAF ALLEN 1/2 X 1.1/2 C/ CAB. UNF
257153,"PARAFUSO ALLEN S/C 1/2"" X 1"" UNC"
257156,"PARAFUSO ALLEN S/C 1/2"" X 3/8"" UNC"
257345,"PARAFUSO ALLEN 3/8"" X 4.1/2 UNF ROSCA PARCIAL"
257394,"PARAFUSO ALLEN 3/8"" X 5"" UNF ROSCA PARCIAL"
257667,"PARAFUSO ALLEN S/ CABEÇA 3/8"" X 1/2"" UNC"
258091,PARAF SEX 5/16X 3/4 UNC 8.8 ZB
258106,PARAF SEX   1/2 X 1.1/4 UNF ZB
258118,PARAF SEX   1/2 X 1.3/4    UNF
258235,PARAF SEX   3/4 X 2   UNF  ZB
258301,PARAF SEX   3/8 X 1.1/4   UNF ZB
258799,PARAF SEX   1/4 X 1.1/2    UNF
258812,"PARAF SEX   1/4"" X 2.1/4""  UNC 8.8"
258842,PARAF SEX   1/2 X 1.1/2    UNF
258854,"PARAF SEX   1/2 X 5.1/2""    UNC"
258909,PARAF SEX   3/4 X 3  UNF ZB
259158,PARAF P/PASTA NIQUELADO 10MM
259159,PARAF P/ARADO TIPO A3 1/2X1.3/4 C/PORCA ZB
259161,PARAF P/PASTA NIQUELADO 15MM
259196,"PARAF SEX 3/8 X 1.3/4"" UNC"
259241,"PARAF SEX   1 X 11""   UNC ZB"
259342,"PARAF SEX INOX  3/8 X 3/4"" UNC"
259357,"PARAF SEX INOX  1 X 2"" UNC"
259364,"PARAF SEX INOX  3/8 X 1/2"" UNC"
259368,"PARAF SEX INOX  1/2 X 2.1/2"" UNC"
259371,"PARAF SEX INOX  3/8 X 2.1/2"" UNC"
259372,"PARAF SEX INOX 5/16 X 3/4"" UNC"
259375,"PARAF SEX INOX 5/16 X 2.1/2"" UNC"
259377,"PARAF SEX INOX 5/8 X 3.1/2"" UNC"
259384,"PARAF SEX INOX 1/4 X 2.1/2"" UNC"
259405,"PARAF SEX INOX  1/4"" X 2"""
259416,"PARAFUSO SEXTAVADO INOX 1/4 X 2"" UNC"
259767,PARAF SEX Z M6 X 25
259768,PARAF SEX Z M6 X 20
259858,PARAF SEX   3/8 X 3/4 8.8UNF ZB
259860,PARAF SEX   M 8  X  12mm.
259871,PARAF SEX   5/8 X 2.3/4 8.8 NF ZB
259895,PARAF SEX   5/8 X 3     8.8UNF
259949,PARAF SEX   3/4 X 2.3/4 8.8UNF
260307,PARAF SEX   5/8 X 3.1/2 8.8UNF ZB
260308,"PARAF SEX   5/8 X 3.1/2""    UNF"
260309,"PARAF SEX   5/8 X 3.1/2""   UNC"
260542,PARAF SEX 7/8 X 9 UNC
260576,"PARAF SEX   3/4 X 1.3/4""    UNF"
260577,"PARAF SEX   3/4 X 2.1/2""    UNF"
260578,"PARAF SEX 3/4 X 1.1/4"" UNC"
260733,PARAF SEX   M10 X 20    8.8
260812,PARAF SEX   5/16X 1/2    UNC
260941,"PARAF SEX 1 X 9"" UNC"
266177,"ESCALA ALUM. DO ESTICADO LE 1,0X250X20"
266178,"ESCALA ALUM. DA COMPORTA 1,5X482x44"
266179,"ESCALA ALUM. DO ESTICADOR LD 1,0X250X20"
266180,RÉGUA ALUM. ALT. MENOR DISCO ESQ. 1X15X445 (026369)
266181,RÉGUA ALUM. ALT. MAIOR DISCO DIR. 1X15X445 (026366)
266182,RÉGUA ALUM. ALT. MAIOR DISCO ESQ. 1X15X445 (026368)
266183,RÉGUA ALUM. ALT. MENOR DISCO DIR. 1X15X445 (026367)
268306,PNEU 12.4-24TT 10 L TM95
271202,PORCA BORB   1/4
272141,PORCA SEXT INOX 5MM MA
272413,"PORCA CAST. DE 1"" UNF-14 FIOS 8.8"
272505,PORCA CAST 1.1/2 S/COROA - UNF ZB
274070,PORCA SEX Z 1/4 4.6 UNC NÃO USAR
274094,"PORCA SEX    5/16"" A/TR NY UNC"
274095,"PORCA SEX  5/16"" A/TR NY INOX UNC"
274112,PORCA SEX     5/8 A/TR     UNC
274127,PORCA SEX  22MA
274187,"PORCA SEXTAVADA INOX 3/4"" UNC"
274318,PORCA SEX 7/8 UNC
274732,PORCA SEX     3/8 A/TR 6.6 UNF
274744,PORCA SEX   M 8   A/TR
274756,PORCA SEX  5/8 A/TR UNF ZB
274811,PORCA SEX   3/4 A/TR  UNF ZB
274951,"PORCA SEXT. DE 2"" - UNF"
275037,"PORCA  A/T. NY.  1/2"" BAIXA UNF-ZB"
275118,"PORCA  A/T. NY. INOX 3/8"" UNC"
275119,"PORCA  A/T. NY. INOX 1/2"" UNC"
275122,"PORCA  A/T. NY. INOX 1/4"" UNC"
275131,"PORCA SEXTAVADA A/T 3/16"" UNC"
275165,CONTRA-PORCA   3/4         UNC
279420,"PORCAS SEXT 2"" BSP 11fpp"
282162,REBITE ROSCADO C/PLANA 06MA
284089,RETENTOR REF 01980 BR (ARCA/SABÓ)
284283,RETENTOR REF 00793 BA (AR-5006) (ARCA/SABÓ)
284397,RETENTOR REF 01366 B - (ARCA/SABÓ)
284427,RETENTOR REF 00674 (AR-      )
288197,ROLAMENTO YAR 210-2F
288207,"ROLAMENTO YAR 205-1"""
288378,ROLAMENTO 18590/520 - 2ª LINHA
288640,ROLAMENTO GYE 50 KRRB (1ª LINHA)
288974,ROLAMENTO REF. 6207 1º LINHA
289240,ROLAMENTO 32006 1ª LINHA
291074,"CB FLEX 1KV 04X002,50MM"
291082,"CB FLEX 01X010,00MM"
291084,"CB FLEX 002,50MM"
292358,VALVULA P/PNEU S/CAMERA REF. TR-414
292723,SOLENOIDE TIPO CR35 SY17 24Vcc 16.3w.
298980,CUSTO DE ZINCAGEM
299008,CARDAN REF. CC-5000/4P C/PROTEÇÃO
299011,CARDAN CC-5000/4P C/ PROTEÇÃO (seguir desenho) [VC1700 M25]
299390,TERM. ENG. RÁP. REF. CC-50
299421,"CABO DE ACO GALV. 1/2"" - 6 X 25 AF"
299881,BORRACHA LONADA DE 4.8MM
