Código,Descrição
200323,GUIA UHMW EST. PRINCIPAL 65 x 575mm - MÁQ P/ COLHEITA DE FRUTAS CÓD. 030298
200324,GUIA UHMW EST. PRINCIPAL 40 x 575mm - MÁQ P/ COLHEITA DE FRUTAS CÓD. 030299
200325,GUIA UHMW EST. PRINCIPAL 25 x 1800mm - MÁQ P/ COLHEITA DE FRUTAS CÓD. 030300
200326,GUIA UHMW EST. PRINCIPAL 65 x 1800mm - MÁQ P/ COLHEITA DE FRUTAS CÓD. 030301
200327,GUIA UHMW EST. PRINCIPAL 40 x 1800mm - MÁQ P/ COLHEITA DE FRUTAS CÓD. 030302
200328,GUIA UHMW EST. PRINCIPAL 25 x 975mm - MÁQ P/ COLHEITA DE FRUTAS CÓD. 030303
200329,GUIA UHMW EST. PRINCIPAL 65 x 975mm - MÁQ P/ COLHEITA DE FRUTAS CÓD. 030304
200330,GUIA UHMW EST. PRINCIPAL 40 x 975mm - MÁQ P/ COLHEITA DE FRUTAS CÓD. 030305
200331,GUIA UHMW EST. ENGATE 25 x 2530mm - MÁQ P/ COLHEITA DE FRUTAS CÓD. 030309
200332,GUIA UHMW EST. ENGATE 65 x 2530mm - MÁQ P/ COLHEITA DE FRUTAS CÓD. 030310
200333,GUIA UHMW EST. ENGATE 40 x 2530mm - MÁQ P/ COLHEITA DE FRUTAS CÓD. 030311
200335,GUIA UHMW EST. LATERAL 75 x 2970mm - MÁQ P/ COLHEITA DE FRUTAS CÓD. 031939
200338,MOTORREDUTOR COROA E ROSCA SEM FIM WCR71 1 1:15 PAJ 90S 2 cv 04 60Hz - 1574032181
200340,DISCO TECNYL INFERIOR EST. FRONT.  - ESTEIRAS - MÁQ P/ COLHEITA DE FRUTAS CÓD. 027656
200349,CABO COMANDO CAMBIO ADAPTAÇÃO 5050MM -  CÓD. 10119580025
200364,TERMINAL ACEL COMPL 6MM CURTO MBB 1113 1
200365,TERMINAL EMBR COMPL 10MM ROSCA 12MM MBB MBB 1113
200377,ROLO MOTOR (ESTEIRA ELEVATORIA) _ MAQUINA P/ COLHEITA DE FRUTAS CÓD. 031900
200378,ROLO DE LIGAÇÃO (ESTEIRA ELEVATORIA) _ MAQUINA P/ COLHEITA DE FRUTAS CÓD. 028300
200379,ROLO DE LIGAÇÃO CENTRAL (ESTEIRA ELEVATORIA) _ MAQUINA P/ COLHEITA DE FRUTAS CÓD. 030284
200380,ROLO MOVIDO (ESTEIRA ELEVATORIA) _ MAQUINA P/ COLHEITA DE FRUTAS CÓD. 029054
200381,ROLO MOTOR / MOVIDO (ESTEIRAS LATERIAS) _ MAQUINA P/ COLHEITA DE FRUTAS CÓD. 028095
200382,ROLO MOVIDO (ESTEIRAS MOVEL) _ MAQUINA P/ COLHEITA DE FRUTAS CÓD. 028034
200383,ROLO MOTOR (ESTEIRAS PRINCIPAL) _ MAQUINA P/ COLHEITA DE FRUTAS CÓD. 031898
200468,Chave tripolar 16A (PEQUENA) MCF 16
200484,"espaguete termo retrátil 1/2"""
200504,"PORCA SEXTAVADA  A/T 3/8"" UNF"
200544,CANALETA HELADUCT ABERTA 50X80MM
200556,"CABO FLEXIVEL 750V SIL PT 2,5MM"
200557,"CABO FLEXIVEL 750V SIL AZ  2,5MM"
200558,"CABO FLEXIVEL 750V SIL VD 2,5MM"
200559,CABO FLEXIVEL 750V SIL PT 1MM
200560,CABO FLEXIVEL 750V SIL AZ 1MM
200561,CABO FLEXIVEL 750V SIL PT 16MM
200563,CABO FLEXIVEL 750V SIL VD 16MM
200586,FUSÍVEL VIDRO 2CM 3A
200695,"CABO PP 2 x 1,5mm"
200878,"TERM.ILHOS TUB.CZ/AZ 692811 2,5MM"
201200ROP,"ESCOVA HELICOIDAL ROPPAN D.189 NYLON 0,30 L.1800 INOX"
201401,MINIDISJUNTOR TRIPOLAR 3KA CURVA C 32A
201402,MINIDISJUNTOR TRIPOLAR 3KA CURVA C 25A
201403,MINIDISJUNTOR TRIPOLAR 3KA CURVA C 16A
201404,MINIDISJUNTOR TRIPOLAR 6KA CURVA C 10A
201405,MINIDISJUNTOR UNIPOLAR 3KA CURVA C 16A
201406,MINIDISJUNTOR UNIPOLAR 3KA CURVA C 10A
201407,TOMADA AUX TRILHO DIN NBR 14136
201408,DISJUNTOR MOTOR TRIPOLAR NS2-25X CLASS E 10A 380V 9-14A 15KA
201409,"DISJUNTOR MOTOR TRIPOLAR NS2-25X CLASS E 10A 380V 4-6,3A 100KA"
201412,CONTATOR 3TS35 220V 50/60HZ 40A
201413,RELE DE TEMPO MULTIFUN TMF-MC 24-240V
201414,RELE FFS01MC
201415,INVERSOR DE FREQUENCIA TRIFASICO 10CV
201416,INVERSOR DE FREQUENCIA TRIFASICO 5CV
201417,INVERSOR DE FREQUENCIA TRIFASICO 3CV
201419,MINIDISJUNTOR BIPOLAR 3KA CURVA C 10A
201423,PORTA DOCUMENTO A4
201424,SINALEIRO MONOBLOCO REDONDO C LED 22M AM
201425,SINALEIRO MONOBLOCO REDONDO C LED 22M VM
201426,SINALEIRO MONOBLOCO REDONDO C LED 22M VD
201427,SINALEIRO CIGARRA 220V
201428,FRONTAL COMUT MANOP CURTA 2 POS
201429,FRONTAL P BOTAO DUPLO FACEADO
201430,FONTE DE ALIMENTAÇÃO CHAVEADA COLMEIA 24V 10A 240W BIVOLT
201431,RELE 24VDC JXA1RC3
201432,PLACA INTERFACE 8 SAIDAS METALTEX
202215,MARCADOR MILLENIUM MHG2/5 PT (0.5/6.0MM) N.0
202216,MARCADOR MILLENIUM MHG2/5 PT (0.5/6.0MM) N.1
202217,MARCADOR MILLENIUM MHG2/5 PT (0.5/6.0MM) N.2
202218,MARCADOR MILLENIUM MHG2/5 PT (0.5/6.0MM) N.3
202219,MARCADOR MILLENIUM MHG2/5 PT (0.5/6.0MM) N.4
202220,MARCADOR MILLENIUM MHG2/5 PT (0.5/6.0MM) N.5
202221,MARCADOR MILLENIUM MHG2/5 PT (0.5/6.0MM) N.6
202222,MARCADOR MILLENIUM MHG2/5 PT (0.5/6.0MM) N.7
202223,MARCADOR MILLENIUM MHG2/5 PT (0.5/6.0MM) N.8
202224,MARCADOR MILLENIUM MHG2/5 PT (0.5/6.0MM) N.9
204578,POSTE FINAL P/CONECTOR 8WH 9150 - 0CA0
206551,BLOCO DE CONTATO AUXILIAR FRONTAL 1NA+1NF P/ NS2/NS2/NS2-80
210365,ANEL ELASTICO E-35
210377,ANEL ELASTICO I-72 REF 502.072
210912,ANEL O-RING 2-228
212016,ARRUELA CHANF 5/8
212042,ARRUELA TRAVA DF 6MM
212043,ARRUELA TRAVA DF 12MM
213299,"CABO ELETRICO 1,5 mm"
213305,"CABO ELETRICO 2,5 mm"
213317,"CABO ELETRICO 4,0 mm"
213539,ESPONJA D33 SELADA 100 X 930 X 930MM
213540,ESPONJA D33 SELADA 50 X 150 X 1330MM
213755,ABRACADEIRA NYLON 200MM
213767,ABRACADEIRA NYLON 100MM
213779,ABRACADEIRA NYLON T-120R 390MM
213780,ABRACADEIRA NYLON 300MM
